  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      24	  -2.000	   0.995	  0.0392	0.075615	 0.00377	-0.02642	0.076858	  0.0365	0.005084	-0.00008	-0.03554	-0.00120	0.075538	-0.005084	0.039157	-0.00086	-0.04783	-0.00121	    1.20	   -0.07	    0.63	   -0.02	   -0.07	   -0.02	   26.19	 1017.74	   16.42	   1.224	    61.4	   10.01	8.751E+4	   0.029
      25	   5.996	   1.995	  0.9524	-0.079258	 0.00847	-0.26886	-0.178554	  0.9389	0.005707	 0.00369	-0.50358	-0.00741	-0.079505	-0.005707	0.952378	 0.00196	-0.49064	-0.00784	   -1.02	   -0.08	   13.57	    0.04	   -1.12	   -0.15	   25.99	 1017.75	   16.35	   1.225	    60.9	    9.97	8.720E+4	   0.029
      26	  -2.996	   1.000	 -0.0659	0.060286	 0.03310	-0.04744	0.056174	 -0.0689	0.034146	 0.00239	-0.03021	-0.00756	0.059699	-0.034146	-0.065870	-0.00277	-0.03992	-0.00745	    8.84	   -4.34	   -7.61	   -0.49	   -0.44	   -1.33	  235.79	 1017.83	   16.54	   1.224	   550.9	   30.00	2.620E+5	   0.088
      27	   5.996	  -1.995	  0.8549	0.078873	-0.03936	-0.12100	-0.012274	  0.8584	-0.042081	-0.00764	-0.33559	 0.01200	0.077455	0.042081	0.854943	 0.00052	-0.34819	 0.01287	   10.80	    5.36	  110.38	    0.09	   -7.11	    2.29	  235.91	 1017.84	   16.47	   1.224	   551.1	   30.01	2.622E+5	   0.088
      28	  -2.996	  -1.995	 -0.0590	0.067015	-0.05381	-0.05733	0.061928	 -0.0623	-0.056111	-0.00593	-0.04175	 0.01749	0.065101	0.056111	-0.059016	 0.00229	-0.05234	 0.01720	   16.92	   12.68	  -11.97	    0.72	   -1.25	    5.44	  417.43	 1017.82	   16.78	   1.223	   978.3	   40.00	3.488E+5	   0.117
      29	   2.996	   1.995	  0.5828	-0.034267	 0.04867	-0.16292	-0.066354	  0.5802	0.047443	-0.00062	-0.30796	-0.01450	-0.035941	-0.047443	0.582845	-0.00910	-0.30211	-0.01449	   -6.34	  -10.71	  134.12	   -2.88	  -10.78	   -4.58	  417.05	 1017.81	   16.87	   1.223	   977.4	   39.99	3.485E+5	   0.117
      30	  -1.996	   1.000	  0.0366	0.077959	-0.00016	-0.04175	0.079176	  0.0338	0.001201	 0.00089	-0.05021	-0.00031	0.077950	-0.001201	0.036579	 0.00071	-0.06289	-0.00028	    1.24	   -0.02	    0.59	    0.01	   -0.11	   -0.01	   26.14	 1017.75	   16.51	   1.224	    61.3	   10.01	8.739E+4	   0.029
      31	  -3.000	   1.000	 -0.0675	0.059731	 0.03338	-0.04324	0.055525	 -0.0705	0.034416	 0.00243	-0.02561	-0.00773	0.059139	-0.034416	-0.067516	-0.00277	-0.03523	-0.00761	    8.77	   -4.38	   -7.82	   -0.49	   -0.34	   -1.36	  235.76	 1017.72	   16.66	   1.223	   550.8	   30.01	2.618E+5	   0.088
      32	  -3.000	  -1.995	 -0.0598	0.066791	-0.05319	-0.05507	0.061682	 -0.0631	-0.055482	-0.00584	-0.03930	 0.01739	0.064899	0.055482	-0.059783	 0.00228	-0.04986	 0.01711	   16.87	   12.53	  -12.14	    0.72	   -1.16	    5.41	  417.21	 1017.74	   16.89	   1.222	   977.8	   40.00	3.485E+5	   0.117
      33	  13.996	  -0.005	  1.2864	0.207344	-0.00062	-0.25213	-0.109921	  1.2983	-0.000634	 0.00041	-0.57671	-0.00294	0.207344	0.000634	1.286355	-0.00025	-0.61045	-0.00314	   48.32	    0.14	  292.20	   -0.08	  -22.24	   -0.99	  417.42	 1017.78	   17.00	   1.222	   978.3	   40.01	3.484E+5	   0.117
      34	  13.004	  -0.005	  1.2362	0.188737	-0.00135	-0.25264	-0.094272	  1.2470	-0.001362	-0.00009	-0.56438	-0.00282	0.188737	0.001362	1.236217	-0.00054	-0.59509	-0.00287	   43.98	    0.31	  280.56	   -0.17	  -21.70	   -0.91	  416.73	 1017.81	   17.02	   1.222	   976.7	   39.98	3.481E+5	   0.117
      35	  10.000	  -0.005	  1.0986	0.134744	-0.00275	-0.17385	-0.058074	  1.1053	-0.002763	-0.00240	-0.45018	-0.00202	0.134744	0.002763	1.098612	-0.00228	-0.47210	-0.00163	   31.89	    0.62	  249.73	   -0.72	  -17.21	   -0.51	  416.96	 1017.84	   17.04	   1.222	   977.2	   39.99	3.482E+5	   0.117
