  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      24	 10:03:36	  -2.000	   0.995	   26.19	 1017.74	   16.42	   144.1	     3.0	   -16.8	   -14.7	    97.2	    -1.5	   0.000	   1.224	    61.4	    10.0	  112630	   18.22	   18.22	    0.08	    0.08	    0.00	  18.678	  18.553	  15.872	  15.595	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      25	 10:04:48	   5.996	   1.995	   25.99	 1017.75	   16.35	  -127.9	   -30.4	   124.0	   134.6	   -85.8	    19.7	   0.000	   1.225	    60.9	    10.0	  112235	   41.01	   41.01	    0.68	    0.71	    0.00	  18.418	  18.354	  42.128	  41.547	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      26	 10:07:01	  -2.996	   1.000	  235.79	 1017.83	   16.54	   976.5	  -417.2	  -329.2	   -77.4	   693.8	   196.6	   0.000	   1.224	   550.9	    30.0	  337215	   53.49	   53.49	   -0.21	   -0.22	    0.00	  18.049	  18.144	  43.212	  42.214	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      27	 10:08:46	   5.996	  -1.995	  235.91	 1017.84	   16.47	  1157.3	   600.7	   989.0	   648.1	   410.2	  -355.8	   0.000	   1.224	   551.1	    30.0	  337402	   60.51	   60.51	    0.15	    0.22	    0.00	  17.984	  18.149	  52.832	  52.159	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      28	 10:10:14	  -2.996	  -1.995	  417.43	 1017.82	   16.78	  1855.1	  1451.1	    32.4	  -747.1	  1287.6	  -840.2	   0.000	   1.223	   978.3	    40.0	  448917	   49.21	   49.21	   -1.05	   -1.07	    0.00	  18.012	  18.194	  33.698	  32.891	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      29	 10:11:30	   2.996	   1.995	  417.05	 1017.81	   16.87	  -702.5	 -1220.6	  1099.7	  1618.3	 -1322.9	   708.6	   0.000	   1.223	   977.4	    40.0	  448523	  123.02	  123.02	   12.45	   11.95	    0.00	  18.708	  19.514	  53.168	  52.815	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      30	 10:14:01	  -1.996	   1.000	   26.14	 1017.75	   16.51	   147.6	     8.6	   -16.2	   -15.8	    97.0	    -4.3	   0.000	   1.224	    61.3	    10.0	  112470	   18.22	   18.40	    0.09	    0.08	    0.00	  24.117	  25.405	  14.995	  14.877	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      31	 10:15:53	  -3.000	   1.000	  235.76	 1017.72	   16.66	   976.6	  -420.0	  -330.0	   -77.9	   694.1	   197.9	   0.000	   1.223	   550.8	    30.0	  336992	   53.49	   53.49	   -0.14	   -0.27	    0.00	  22.311	  22.492	  40.913	  39.818	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      32	 10:17:12	  -3.000	  -1.995	  417.21	 1017.74	   16.89	  1857.1	  1440.8	    28.0	  -743.8	  1289.0	  -838.4	   0.000	   1.222	   977.8	    40.0	  448558	   49.21	   49.21	   -1.10	   -1.26	    0.00	  21.046	  21.001	  32.081	  31.204	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      33	 10:21:09	  13.996	  -0.005	  417.42	 1017.78	   17.00	  5217.4	  -106.5	  1890.6	  1854.2	  2527.7	    84.7	   0.000	   1.222	   978.3	    40.0	  448466	   49.20	   49.21	   -0.47	   -1.03	    0.00	  19.596	  19.470	  35.232	  32.255	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      34	 10:22:02	  13.004	  -0.005	  416.73	 1017.81	   17.02	  4748.2	   -87.7	  1870.8	  1821.9	  2187.6	    82.4	   0.000	   1.222	   976.7	    40.0	  448068	   49.21	   49.21	   -0.53	   -1.25	    0.00	  19.432	  19.268	  34.922	  31.732	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      35	 10:22:47	  10.000	  -0.005	  416.96	 1017.84	   17.04	  3441.6	   -25.7	  1788.1	  1696.5	  1462.8	    54.1	   0.000	   1.222	   977.2	    40.0	  448151	   49.22	   49.21	   -1.11	   -1.25	    0.00	  19.327	  19.135	  32.801	  31.416	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
